id,date,Home,Away,round,result,Home_Points_Before,home_halftime_score,home_fulltime_score,home_extratime_score,home_penalty_score,Away_Points_Before,away_halftime_score,away_fulltime_score,away_extratime_score,away_penalty_score
721773,2021-08-23 00:00:00+00:00,Necaxa,FC Juarez,Apertura - 6,h,6,0,1,,,2,0,0,,
721774,2021-08-23 02:00:00+00:00,Club Queretaro,Pachuca,Apertura - 6,a,3,0,0,,,3,1,2,,
721777,2021-08-28 00:00:00+00:00,Mazatlán,Atletico San Luis,Apertura - 7,d,8,1,2,,,8,1,2,,
721776,2021-08-28 02:00:00+00:00,Puebla,Club Queretaro,Apertura - 7,h,3,0,1,,,3,0,0,,
721778,2021-08-28 02:06:00+00:00,Club Tijuana,Monterrey,Apertura - 7,d,2,1,2,,,10,2,2,,
721782,2021-08-28 22:00:00+00:00,Guadalajara Chivas,Necaxa,Apertura - 7,h,6,1,2,,,9,0,1,,
721779,2021-08-29 00:00:00+00:00,Tigres UANL,Atlas,Apertura - 7,d,11,1,1,,,9,0,1,,
721780,2021-08-29 02:00:00+00:00,Leon,Club America,Apertura - 7,d,13,1,1,,,16,1,1,,
721781,2021-08-29 17:00:00+00:00,Toluca,U.N.A.M. - Pumas,Apertura - 7,h,11,1,2,,,5,1,1,,
721783,2021-08-29 23:00:00+00:00,Santos Laguna,FC Juarez,Apertura - 7,h,8,0,2,,,2,0,0,,
721784,2021-08-30 01:00:00+00:00,Cruz Azul,Pachuca,Apertura - 7,d,9,0,1,,,6,1,1,,
721785,2021-09-11 00:00:00+00:00,Puebla,Atletico San Luis,Apertura - 8,d,6,0,2,,,9,1,2,,
721787,2021-09-11 02:00:00+00:00,FC Juarez,Cruz Azul,Apertura - 8,h,2,2,2,,,10,1,1,,
721786,2021-09-11 02:06:00+00:00,Club Tijuana,Santos Laguna,Apertura - 8,h,3,1,2,,,11,0,1,,
721790,2021-09-11 22:00:00+00:00,Atlas,Monterrey,Apertura - 8,h,10,0,2,,,11,1,1,,
721788,2021-09-12 00:00:00+00:00,Tigres UANL,Leon,Apertura - 8,d,12,1,2,,,14,2,2,,
721789,2021-09-12 02:00:00+00:00,Club America,Mazatlán,Apertura - 8,h,17,1,2,,,9,0,0,,
